NCTId,eudraCT,study_completion_year,has_results_or_publications,has_results_or_publications_within_1y,has_results_or_publications_within_3y
NCT02281357,2014-001391-54,2017.0,True,True,True
NCT01894243,,2017.0,True,True,True
NCT00274469,,2017.0,True,True,True
NCT00094328,,2017.0,True,True,True
NCT02268214,,2017.0,True,True,True
,2004-000384-10,2017.0,True,True,True
NCT02161770,,2017.0,True,False,True
NCT01730534,,2018.0,True,True,True
NCT02155660,2013-004579-11,2018.0,True,True,True
NCT02258542,2014-001086-27,2018.0,True,True,True
NCT02446899,,2018.0,True,False,True
NCT03162055,2016-004655-75,2018.0,True,True,True
NCT03315091,,2018.0,False,False,False
NCT02317016,,2018.0,True,True,True
NCT00313170,,2019.0,True,True,True
NCT02093351,,2019.0,True,True,True
NCT03354429,2016-004232-37,2019.0,True,True,True
NCT01544179,,2019.0,True,True,True
NCT01991795,2013-003519-23,2019.0,True,True,True
NCT03313557,,2019.0,False,False,False
NCT02808819,2015-005396-25,2020.0,True,True,True
NCT03170271,2017-001040-35,2020.0,True,True,True
NCT02369874,2014-003863-40,2020.0,True,True,True
NCT03347279,2017-003078-15,2020.0,True,True,True
NCT02319044,2014-003717-29,2020.0,True,True,True
NCT04346199,,2020.0,True,True,True
NCT02207530,,2020.0,True,True,True
NCT03286842,2017-001054-34,2021.0,True,True,True
NCT02547922,2015-001442-29,2021.0,True,True,True
NCT03990363,,2021.0,True,True,True
NCT02551159,2015-003589-10,2021.0,True,True,True
NCT02794285,,2021.0,True,True,True
NCT03022409,,2021.0,False,False,False
NCT04495179,2020-000209-10,2022.0,True,True,True
,2013-000422-58,2022.0,False,False,False
NCT01750281,,2022.0,True,True,True
NCT02908750,,2022.0,True,True,True
NCT03706079,2018-002501-53,2022.0,True,True,True
NCT02923947,,2022.0,True,True,True
NCT03557307,,2022.0,True,True,True
NCT03084471,2016-005068-33,2022.0,True,True,True
NCT03106987,2016-003346-90,2022.0,True,True,True
NCT01625286,,2022.0,True,True,True
NCT04625725,,2023.0,True,True,True
,2008-003439-18,2023.0,False,False,False
NCT01972217,2013-003520-37,2023.0,True,True,True
NCT03979313,,2023.0,True,True,True
NCT02184195,2014-001589-85,2023.0,True,True,True
NCT02987543,,2023.0,True,True,True
NCT03959488,,2023.0,True,True,True
NCT04590248,2020-000138-16,2023.0,True,True,True
NCT02163733,,2023.0,True,True,True
NCT02125461,,2023.0,True,True,True
NCT04249362,,2023.0,True,True,True
,2019-004336-31,2023.0,False,False,False
,2020-004356-16,2023.0,False,False,False
NCT00753545,,2023.0,True,True,True
NCT03693300,2018-002220-16,2023.0,True,True,True
NCT04385368,,2023.0,False,False,False
NCT02352948,,2023.0,True,True,True
NCT04159519,2019-001924-37,2023.0,True,True,True
,2020-000556-35,2023.0,False,False,False
NCT00278915,,2023.0,True,True,True
NCT01802632,,2023.0,True,True,True
NCT04642469,,2024.0,False,False,False
NCT04039113,,2024.0,False,False,False
NCT05140382,,2024.0,False,False,False
,2021-002570-54,2024.0,False,False,False
NCT05364931,,2024.0,False,False,False
,2021-000085-14,2024.0,False,False,False
NCT04986202,,2024.0,False,False,False
,2019-001363-67,2024.0,False,False,False
NCT00430729,,,True,False,False
NCT00108823,,,False,False,False
,2016-004108-73,,False,False,False
NCT04516746,2020-005226-28,,True,False,False
,2020-001642-18,,False,False,False
,2014-000594-39,,False,False,False
,2017-002361-22,,False,False,False
,2019-001402-20,,False,False,False
,2014-002694-11,,False,False,False
,2019-004770-25,,False,False,False
,2020-000612-30,,False,False,False
,2010-021220-10,,True,False,False
,2015-001279-39,,False,False,False
